Category;Brand;Product;Variant;SKU;Price;"Old price";"Currency ID";Weight;Stock;Units;Visible;Featured;"Meta title";"Meta keywords";"Meta description";Annotation;Description;Images;URL;Вес;Серия;Диагональ;"Тип экрана";"Разрешение экрана";Система;"Количество ядер";Процессор;"Частота процессора";"Оперативная память";"Встроенная память";"Поддержка SD карт";Sim-карт;"Размеры SIM";"GSM (2G)";3G;"LTE (4G)";WCDMA;"Основная камера";"Фронтальная камера";Вспышка;Bluetooth;GPS;A-GPS;Wi-Fi;"ИК порт";Разъемы;Аккумулятор;Размеры;Цвет;"Wi-Fi Hotspot";"Сканер отпечатков пальцев"
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu M3 Note 16Gb";"В наличии";;136.71;;1;0.00;;;1;0;"Телефон Meizu M3 Note 16Gb";"Телефон Meizu M3 Note 16Gb";"Телефон Meizu M3 Note 16Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";s040704-01.jpg;telefon-meizu-m3-note-16-gb;"163 г";M3;"5.5""";"IPS Full HD";"1080x1920 пикс.";"Android 5.1";"8 (Cortex A-53)";"MediaTek MT6755";"4 x 1.8 Ггц + 4 x 1.0 ГГц";"2 ГБ";"16 ГБ";"до 128 ГБ";"2 sim";nano-SIM;"850 / 900 / 1800 / 1900 МГц";"850 / 900 / 1900 / 2100 МГц";TD-LTE;"850 / 900 / 1900 / 2100 МГц";"13 Мп";"5 Мп";Есть;4.0;Есть;Есть;"802.11 a/b/g/n";;"microUSB. Аудио 3.5 мм";"4100 мАч";"153.6 х 75.5 х 8.2 мм";"Белый. серый. золотой";;
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu Pro 5 64Gb";"В наличии";;396.43;;1;0.00;;;1;0;"Телефон Meizu Pro 5 64Gb";"Телефон Meizu Pro 5 64Gb";"Телефон Meizu Pro 5 64Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";s040718-02.jpg;telefon-meizu-pro-5-m576-64-gb;"168 г";Pro;"5.7""";"Super AMOLED Full HD";"1080x1920 пикс.";"Android 5.1";"8 (Cortex A-57 + Cortex A-53)";"Samsung Exynos 7";"4 х 2.1 ГГц + 4 х 1.5 ГГц";"4 ГБ";"64 ГБ";"до 128 ГБ";"2 sim";"nano-SIM. nano-SIM (microSD)";"850 / 900 / 1800 / 1900 МГц";"850 / 900 / 1900 / 2100 МГц";TD-LTE;"850 / 900 / 1900 / 2100 МГц";"21.16 Мп";"5 Мп";Есть;04.Січ;Есть;Есть;"802.11 a/b/g/n";Есть;"microUSB. Аудио 3.5 мм";"3050 мАч";"156.7 х 78.0 х 7.5 мм";"Серый. серебряный. золотой";Есть;Есть
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu Pro 5 32Gb";"Под заказ";;297.00;;1;0.00;;;1;0;"Телефон Meizu Pro 5 32Gb";"Телефон Meizu Pro 5 32Gb";"Телефон Meizu Pro 5 32Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";s040719-01.jpg;telefon-meizu-pro-5-m576-32-gb;"168 г";Pro;"5.7""";"Super AMOLED Full HD";"1080x1920 пикс.";"Android 5.1";"8 (Cortex A-57 + Cortex A-53)";"Samsung Exynos 7";"4 х 2.1 ГГц + 4 х 1.5 ГГц";"3 ГБ";"32 ГБ";"до 128 ГБ";"2 sim";"nano-SIM. nano-SIM (microSD)";"900 / 1800 / 1900 МГц";"900 / 2100 МГц";TD-LTE;"900 / 2100 МГц";"21.16 Мп";"5 Мп";Есть;04.Січ;Есть;Есть;"802.11 a/b/g/n";Есть;"microUSB. Аудио 3.5 мм";"3050 мАч";"156.7 х 78.0 х 7.5 мм";"Серый. серебряный. золотой";Есть;Есть
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu M3S 2+16Gb";"В наличии";;122.00;;1;0.00;0;;1;0;"Телефон Meizu M3S 2+16Gb";"Телефон Meizu M3S 2+16Gb";"Телефон Meizu M3S 2+16Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";s040709-01.jpg;telefon-meizu-m3s-216-gb;"138 г";M3;"5.0""";"IPS HD";"1280x720 пикс.";"Android 6.0";"8 (Cortex A-53)";"MediaTek MT6750";"1.5 ГГц";"2 ГБ";"16 ГБ";;"2 sim";nano-SIM;"850 / 900 / 1800 / 1900 МГц";"850 / 900 / 1900 / 2100 МГц";TD-LTE;"850 / 900 / 1900 / 2100 МГц";"13 Мп";"5 Мп";Есть;4.0;Есть;Есть;"802.11 a/b/g/n/ac";;"microUSB. Аудио 3.5 мм";"3020 мАч";"141.9 x 69.0 x 8.3 мм";"Темно-серый. золотой. серый. Rose-gold";;Есть
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu Pro 6 32Gb";;;305.00;;1;0.00;0;;1;0;"Телефон Meizu Pro 6 32Gb";"Телефон Meizu Pro 6 32Gb";"Телефон Meizu Pro 6 32Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";s040722-01.jpg;telefon-meizu-pro-6-m570q-32-gb;"160 г";Pro;"5.2""";"Super AMOLED Full HD";"1080x1920 пикс.";"Android 6.0";10;"MediaTek MT6797T";"2 x 2.5 ГГц Cortex-A72 + 4 x 2.0 ГГц Cortex-A53 + 4 x 1.4 ГГц Cortex-A53";"4 ГБ";"32 ГБ";;"2 sim";nano-SIM;"850 / 900 / 1800 / 1900 МГц";"850 / 900 / 1900 / 2100 МГц";TD-LTE;"850 / 900 / 1900 / 2100 МГц";"21 Мп";"5 Мп";Есть;4.0;Есть;Есть;"802.11 a/b/g/n/ac";;"microUSB. Аудио 3.5 мм";"2560 мАч";"147.7 х 70.8 х 7.3 мм";"Темно-серый. золотой. серый";;Есть
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu Pro 6 64Gb";;;342.15;;1;0.00;0;;1;0;"Телефон Meizu Pro 6 64Gb";"Телефон Meizu Pro 6 64Gb";"Телефон Meizu Pro 6 64Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
</div>";"Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.";s040721-02.jpg;telefon-meizu-pro-6-m570q-64-gb;"160 г";Pro;"5.2""";"Super AMOLED Full HD";"1080x1920 пикс.";"Android 6.0";10;"MediaTek MT6797T";"2 x 2.5 ГГц Cortex-A72 + 4 x 2.0 ГГц Cortex-A53 + 4 x 1.4 ГГц Cortex-A53";"4 ГБ";"64 ГБ";;"2 sim";nano-SIM;"850 / 900 / 1800 / 1900 МГц";"850 / 900 / 1900 / 2100 МГц";TD-LTE;"850 / 900 / 1900 / 2100 МГц";"21 Мп";"5 Мп";Есть;4.0;Есть;Есть;"802.11 a/b/g/n/ac";;"microUSB. Аудио 3.5 мм";"2560 мАч";"147.7 х 70.8 х 7.3 мм";"Темно-серый. золотой. серый";;Есть
Гаджеты/Смартфоны/Meizu;;"Телефон Meizu M3 Note 32Gb";;;169.10;;1;0.00;0;;1;0;"Телефон Meizu M3 Note 32Gb";"Телефон Meizu M3 Note 32Gb";"Телефон Meizu M3 Note 32Gb";"<div>
Lorem Ipsum - это текст-""рыба"", часто используемый в печати и вэб-дизайне. Lorem Ipsum является стандартной ""рыбой"" для текстов на латинице с начала XVI века. В то время некий безымянный печатник создал большую коллекцию размеров и форм шрифтов, используя Lorem Ipsum для распечатки образцов. Lorem Ipsum не только успешно пережил без заметных изменений пять веков, но и перешагнул в электронный дизайн. Его популяризации в новое время послужили публикация листов Letraset с образцами Lorem Ipsum в 60-х годах и, в более недавнее время, программы электронной вёрстки типа Aldus PageMaker, в шаблонах которых используется Lorem Ipsum.
